date,gene_copy_1,gene_copy_2,gene_copy_3,year,epi_week,year_day,sum_genes,new_time,log_gene_copies1,log_gene_copies2,log_gene_copies3
2021-07-04,116000,178000,87100,2021,27,185,381100,1,4.7535901911063645,5.181783550292085,4.467056883858457
2021-07-05,157000,130000,195000,2021,27,186,482000,2,5.056245805348308,4.867534450455582,5.272999558563747
2021-07-11,402000,43200,57100,2021,28,192,502300,8,5.996452088619021,3.765840495250065,4.044804116661965
2021-07-12,253000,249000,232000,2021,28,193,734000,9,5.53338948872752,5.517452896464707,5.44673737166631
2021-07-14,217000,240000,537000,2021,28,195,994000,11,5.37989735354046,5.480638923341991,6.285998094508865
2021-07-18,354000,451000,746000,2021,29,199,1551000,15,5.869296913133774,6.111467339502679,6.61472560020376
2021-07-19,270000,867000,461000,2021,29,200,1598000,16,5.598421958998375,6.7650389767805414,6.133398042996649
2021-07-21,400000,136000,196000,2021,29,202,732000,18,5.991464547107982,4.912654885736052,5.278114659230517
2021-07-26,1250000,1310000,1960000,2021,30,207,4520000,23,7.1308988302963465,7.177782416195197,7.580699752224563
2021-07-30,662000,370000,761000,2021,30,211,1793000,27,6.495265555937008,5.91350300563827,6.634633357861686
2021-08-01,13900000,2770000,1160000,2021,31,213,17830000,29,9.539644119118783,7.926602599181384,7.05617528410041
2021-08-02,3834344.981,2051300.573,5369955.167,2021,31,214,11255600.721,30,8.251753898952575,7.626229296823108,8.588574838678488
2021-08-04,3704309.696,2306134.936,5480926.132,2021,31,216,11491370.764,32,8.217252203501948,7.743328214294856,8.609029367852582
2021-08-08,4815674.921,2786716.65,3076396.435,2021,32,220,10678788.006000001,36,8.479631484918084,7.932619353852649,8.031514202360228
2021-08-09,924704.1974,961191.0961,904063.2135,2021,32,221,2789958.5069999998,37,6.829473899775194,6.868173240502721,6.80689928438549
2021-08-11,808270.8758,805769.1899,766779.1413,2021,32,223,2380819.2070000004,39,6.6948972446666755,6.691797336608037,6.6421988085323305
2021-08-15,868461.7568,451071.7258,3752208.408,2021,33,227,5071741.8906,43,6.7667235510904655,6.11162636410815,8.23009985442572
2021-08-16,753788.5432,1268634.598,748959.5013,2021,33,228,2771382.6425,44,6.625111881991081,7.145696481411857,6.618684911694884
2021-08-18,318130.7528,130451.7057,811549.234,2021,33,230,1260131.6925000001,46,5.7624624705990435,4.8710030870051115,6.6989450554777985
2021-08-22,1252726.117,1607712.477,1375015.642,2021,34,234,4235454.236,50,7.133077349199913,7.382567625915064,7.2262203860359655
2021-08-29,464150.5114,753620.006,269395.6153,2021,35,241,1487166.1327,57,6.140208877644322,6.624888270149697,5.596180988045742
2021-09-05,1759070.673,1486708.514,852063.6789,2021,36,248,4097842.8659,64,7.472540921872459,7.304319904380334,6.747661264529342
2021-09-06,2359401.021,1482168.268,862552.0719,2021,36,249,4704121.3609,65,7.766163061144785,7.301261340571316,6.759895520300517
2021-09-12,658251.8444,305710.9447,513111.6782,2021,37,255,1477074.4673,71,6.489587600347427,5.7226400303494644,6.240493517774666
2021-09-13,392185.1748,444202.7731,298776.904,2021,37,256,1135164.8519000001,72,5.971734112945815,6.09628115434944,5.699697154421117
2021-09-15,618173.6839,318523.9027,410950.9772,2021,37,258,1347648.5638,74,6.4267694598821965,5.763697519919983,6.018473930496536
2021-09-19,299567.7584,364411.4007,252892.9629,2021,38,262,916872.1220000001,78,5.702340630364786,5.89828345112033,5.532966327666004
2021-09-26,1077033.872,1032347.014,524043.3427,2021,39,269,2633424.2287,85,6.981966126986814,6.939590143396813,6.261574395976675
2021-09-27,-1,382520.1649,705005.9802,2021,39,270,1087525.1450999998,86,-1,5.94678137056982,6.558206285329484
2021-09-29,4940.532169,41643.91146,6851.425552,2021,39,272,53435.869181,88,1.597473051915965,3.729155174493639,1.9244567404033193
2021-10-03,-1,760060.2909,207767.1671,2021,40,276,967826.458,92,-1,6.633397760265487,5.336418063775272
2021-10-04,131337.0821,-1,6832560.122,2021,40,277,6963896.204100001,93,4.877767164131084,-1,8.829454717178072
2021-10-17,112226.2372,166686.4868,153418.0845,2021,42,290,432330.80850000004,106,4.720516808888806,5.116114723483564,5.033166773118832
2021-10-24,254856.9687,436219.6729,101670.8356,2021,43,297,792747.4772,113,5.54070248073239,6.078145953392433,4.621740493000222
2021-10-25,98025.53485,219398.8022,153479.6081,2021,43,298,470903.94515,114,4.585228004424668,5.390891088391405,5.033567711948335
2021-10-27,145527.1274,208996.0899,196329.8952,2021,43,300,550853.1125,116,4.980362511844967,5.342315543177363,5.279796383115374
2021-10-31,146501.1267,91932.79837,66680.51256,2021,44,304,305114.43763,120,4.987033119212531,4.521057857638628,4.199912744715677
2021-11-01,142674.5092,176620.3476,131081.4626,2021,44,305,450376.31940000004,121,4.960565876430873,5.174002500105756,4.87581898183977
2021-11-03,114981.1116,163290.7958,94930.62625,2021,44,307,373202.53365,123,4.74476786791672,5.09553263464022,4.553146374838133
