time,total_count,total_count_I,total_count_R1,num_I,num_R1,time.y,S.x,E.x,I.x,R1.x,beta_t.x,R0.x,time_diff.x,Rt.x,time.y.y,S.y,E.y,I.y,R1.y,beta_t.y,R0.y,time_diff.y,Rt.y
78,58817478589.074776,38674045957.40683,20143432631.667923,479,2020,77.99888345304547,89429,224,479,2020,0.12857142857142856,0.8999999999999999,0.00111654695453466,0.8053469999999999,77.99888345304547,89429,224,479,2020,0.12857142857142856,0.8999999999999999,0.00111654695453466,0.8053469999999999
78.5,20634478876.058395,10625278544.523138,10009200331.535252,480,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,57776019538.84046,48775221019.341194,9000798519.49925,488,1958,78.99397454757475,89370,225,488,1958,0.12857142857142856,0.8999999999999999,0.00602545242524854,0.8048609999999999,78.99397454757475,89370,225,488,1958,0.12857142857142856,0.8999999999999999,0.00602545242524854,0.8048609999999999
79.5,47020146854.51239,36797174513.86929,10222972340.643118,485,1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,23837035479.31492,17826566761.763428,6010468717.551507,483,1918,79.9938502681326,89314,221,483,1918,0.13249344604252208,0.9274541222976548,0.00614973186739575,0.828865749097414,79.9938502681326,89314,221,483,1918,0.13249344604252208,0.9274541222976548,0.00614973186739575,0.828865749097414
80.5,29176203459.587288,17253176198.18287,11923027261.404408,492,1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,36000100075.82151,18745986994.566666,17254113081.25488,490,1892,80.99755097794963,89250,213,490,1892,0.13653510301062108,0.9557457210743476,0.00244902205037078,0.8536147333203428,80.99755097794963,89250,213,490,1892,0.13653510301062108,0.9557457210743476,0.00244902205037078,0.8536147333203428
81.5,94140007526.52444,29873545441.489548,64266462085.034996,481,1871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,69420486374.16379,44664067437.628456,24756418936.53527,462,1882,81.99803490045878,89189,213,462,1882,0.14070004902837266,0.9849003431986086,0.00196509954122348,0.8790235563047583,81.99803490045878,89189,213,462,1882,0.14070004902837266,0.9849003431986086,0.00196509954122348,0.8790235563047583
82.5,25605759883.109142,10836610845.149578,14769149037.95959,473,1858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,28774605149.601856,14397722967.995686,14376882181.606173,483,1836,82.99365077484511,89128,201,483,1836,0.14499204497649593,1.0149443148354715,0.00634922515489222,0.9052186849586088,82.99365077484511,89128,201,483,1836,0.14499204497649593,1.0149443148354715,0.00634922515489222,0.9052186849586088
83.5,29231533140.307457,16443475361.832457,12788057778.474983,469,1817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
