time,total_count,total_count_I,total_count_R1,num_I,num_R1,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,new_time,everyother,week,seed
78,43104349148.97239,16678453073.117931,26425896075.854496,534,2195,8.486889737294035,8.215221341695328,8.298616098706677,9.826202343911856,7.87848613817578,9.362596844473313,8.515954688738443,8.326099645128025,9.06966823548203,9.365208497787547,8.72236357224779,8.937712677511884,9.075955982572337,1,TRUE,0,25
80,30676988309.888885,15753726260.001663,14923262049.887217,537,2074,8.146778644021037,8.000694263577374,8.015732590293995,8.107957646129176,8.138256499014487,8.088307506657316,8.423293417601908,7.8264959614179155,7.6089587415327715,8.019985886913625,8.758612580803483,8.14589033315814,8.04259707919555,3,TRUE,0,25
82,28629737115.45796,17518247833.907337,11111489281.550636,496,1997,8.077711773878686,8.034343881399883,9.545586539177336,8.779199812146413,8.574117042992354,7.304144674793848,7.826773953202096,7.952099808410108,9.139386985256937,7.951422844165345,8.146614147232448,8.542854344176643,8.968932507912731,5,TRUE,0,25
84,31511778421.771152,20634189224.88626,10877589196.884857,475,1930,8.173627231039493,7.63159400753859,7.968792526497625,8.283292278393555,8.178512648059291,7.84482964285098,9.302781597443325,7.669267490964342,8.293287189084621,8.04059746662006,8.330426112925755,8.278543999726885,7.996194033316478,7,TRUE,0,25
86,31626766719.951897,15970707513.44172,15656059206.51018,440,1877,8.177269647096235,7.693553264094464,8.316532922895458,8.343093626814168,8.071284457870835,8.3027376804189,8.035598053729759,7.51883218036457,6.384367693341176,8.344709119828945,8.50619978405075,8.083309848958049,8.159200721239378,9,TRUE,1,25
88,45920919760.158905,32355249944.210037,13565669815.948853,428,1784,8.550186618377317,9.180696185431959,9.148751212146335,8.417536899744396,10.990670359619527,8.352114865539745,7.659775779625749,8.711999933243527,8.655320042869578,8.721332680056976,8.663641047337308,9.333016318259972,8.971928448443064,11,TRUE,1,25
90,45960801415.47503,38430280422.88739,7530520992.587657,445,1701,8.551054727013298,8.73996759218475,9.431118690958419,8.147435914954595,8.446582461908172,8.801126066057018,8.789759828075486,8.386281829885021,8.743635477331647,10.294534249781295,8.113973434544537,9.031317473334015,8.908003566443096,13,TRUE,1,25
92,65156431906.86342,50990602025.712364,14165829881.151073,474,1644,8.900056860231626,7.491417039100487,8.965390077094986,9.633527232195823,8.742783970824723,9.218351146329002,9.170765779756701,9.26690152905245,8.916065180725875,7.905586290007405,8.523686178227578,8.94407448601685,9.023537614043445,15,TRUE,2,25
94,50030717858.79376,32448122458.51046,17582595400.28329,497,1603,8.635903010910319,8.659185324697114,8.972289782369307,10.167134772523255,9.022352434899387,8.167300704871499,8.581873008457025,8.845996625743078,8.77320242045249,9.574962273067374,8.311710962582175,9.090411043782378,9.489935944909154,17,TRUE,2,25
96,86919581693.29407,77208954622.9542,9710627070.339886,516,1562,9.188249179774672,9.162352678045293,9.727239178171843,9.380476338443316,8.973844010491389,9.210111541293552,9.316785145550062,8.998232840649514,8.110354719788042,8.232983073971965,8.705466856968759,9.086877793194079,9.450781710591187,19,TRUE,2,25
98,41411138688.8735,23380254513.339687,18030884175.53382,543,1533,8.446815732045977,8.027432638754162,8.282933588273949,8.525127717900569,9.340792737188728,8.369758270033984,9.160770588237561,7.519642216436706,8.716341447687359,8.201860910076164,8.894090762284707,8.633483984387901,8.298993894736498,21,TRUE,2,25
100,64370121263.171974,24865144133.815735,39504977129.3562,565,1511,8.887915406855239,8.927992853194944,9.289475339112988,8.545246379906343,10.009698313750215,9.143136946206896,8.917043026885919,9.194520813014272,8.941076730343493,6.838639344873744,8.982307840145596,9.093039061521573,8.966393249228272,23,TRUE,3,25
102,56944475653.02214,43902796961.89568,13041678691.126432,625,1515,8.765342518675677,8.353755431803982,8.585689324730332,8.523786279133123,8.311298813905847,8.184124281620713,8.741196169653975,9.779765428502843,8.91643019966586,8.91685863382862,8.597227119336496,8.802994726235262,8.492466903213838,25,TRUE,3,25
104,87714395030.31055,58645078664.89848,29069316365.412125,686,1550,9.197351862311361,11.322216829656709,8.329805692576846,8.857301417714442,8.603934039320439,10.046379768027066,9.679249765774415,8.559788702245484,9.374923969646007,10.434475339309035,8.665222873978127,9.878849958344809,10.350397854157487,27,TRUE,3,25
106,85896696541.51201,42621288835.03449,43275407706.47743,776,1585,9.176411208171658,8.961452059523795,8.917461795629071,7.914214218997683,10.97019625820407,8.630527684650989,9.079032526956043,9.676559951288551,9.845935860790311,8.408338573153825,9.121246934725946,9.539155785619506,8.69916433438078,29,TRUE,4,25
108,112530082054.55907,85427207220.14899,27102874834.410027,861,1656,9.44648641888746,9.094822409224879,9.237294258684447,10.110094494904015,9.711685356501055,8.940183032401109,9.394830288251242,9.001667263564856,10.334706766987486,8.334398221206154,9.06875906342612,9.485575932324398,9.588142685000067,31,TRUE,4,25
110,303260753597.34534,238685685297.9382,64575068299.40721,939,1743,10.437858845303737,10.559472785828575,8.951824011843357,10.32581199655811,10.013828911148813,7.268595396738629,10.984422767040506,10.221538011085016,10.189349554055756,10.76951048378362,10.134645010174456,10.262371838436328,10.149993857024242,33,TRUE,4,25
112,93562125355.65218,59112252739.24015,34449872616.41199,1060,1814,9.261891494903434,8.83051591801457,9.031698031989505,8.974482118736601,9.054204861039105,9.566813886756075,8.796862412000426,8.795341404434733,8.844861852184636,9.426457153080495,8.75652460865345,9.046173585152356,8.949096420525764,35,TRUE,4,25
114,147332333725.3829,108077942670.71243,39254391054.67047,1284,1914,9.715956645663638,9.972946013458163,9.61870832192289,9.654021292960635,10.044465144285974,10.535405837286383,10.279675944203309,10.27453983411999,9.47971846534574,9.133740594291275,9.10700618511649,9.914480655203333,9.761664507261349,37,TRUE,5,25
116,157329227796.18713,94482385746.45871,62846842049.728485,1466,2128,9.781606439007628,9.532178941579197,9.4048614807594,9.721192600608122,11.572055957842256,9.444142170707112,9.781302493597142,9.21845769449465,10.003117323124524,10.026238863642195,9.065647331146234,10.09607995115401,9.561255935796241,39,TRUE,5,25
118,412126948547.7526,339894807221.0634,72232141326.68916,1700,2350,10.744597266377486,10.394084368625066,11.303576591513279,10.886011837244325,10.142154441377325,10.9158318906103,10.82951751206351,10.143247145027395,10.43513383315402,10.257841620667115,10.599481150470002,10.660066981090988,10.928338755698059,41,TRUE,5,25
120,247638809524.80295,175680435292.73083,71958374232.072,2001,2597,10.23523710830436,10.015247640836659,9.65249295565541,10.812924911435458,10.480577528165599,11.255952473214954,10.579884035178297,9.925783990505543,10.084757875633096,10.501309268122723,10.358184176005715,10.469307104578796,10.281740471052807,43,TRUE,6,25
122,669658139000.7445,301376669409.4279,368281469591.3159,2356,2900,11.230033178817148,12.39747424335078,10.985457841809797,10.380470281266565,13.030103136775113,11.251179800355265,10.982629795966172,11.153727108372607,10.32550955164593,11.113309771606293,11.328662520588352,11.674810079256059,11.618554910450754,45,TRUE,6,25
124,256419492544.17892,161490656853.5721,94928835690.60709,2725,3350,10.270080583066509,10.413433249779324,10.364530083926855,10.509740298386726,10.891030020047817,9.63936956158352,9.762982224735424,11.241125092801669,9.540002322765226,11.164479841112579,10.499639226692583,10.55868506809014,10.431067003971343,47,TRUE,6,25
126,539129183125.24146,435747863646.1444,103381319479.09702,3152,3804,11.013221050985159,9.975327309038958,10.604397894821224,10.93144933131086,11.947208747509979,11.25483559708344,10.055706010684656,11.005236306665514,11.290725862992387,11.360327259889326,10.959821126577483,11.091731476760959,10.577355469158672,49,TRUE,6,25
128,524867849557.0024,189701910818.46402,335165938738.53827,3608,4350,10.986412352722944,11.140940585646963,11.000372655182016,10.824621017808623,12.268579424210758,10.55440117074804,12.037294554183537,9.241127487397263,11.35204078883469,10.847050985724616,10.734523164451277,11.279743026430662,10.99695132593821,51,TRUE,7,25
130,463575255211.67456,245795154035.26965,217780101176.4042,4123,4929,10.862234571689122,10.332896004158986,10.973196228886502,11.317112468757246,10.775906920000814,11.269433455678167,10.955373725871882,10.257161868527334,10.595457021223778,10.285258806164281,11.315627210617157,10.88662984325593,10.952175034246169,53,TRUE,7,25
132,691981860540.8989,451464367120.66034,240517493420.23868,4724,5632,11.262825579129323,12.790670711305514,10.884003841900192,10.656285765715191,11.902801719815098,11.456563864227396,11.235401168666966,10.821160200997898,9.482317962834298,10.710405548614697,10.745562342135075,11.4371588727311,11.928625175086427,55,TRUE,7,25
134,604986120907.0841,330841953386.39526,274144167520.683,5420,6373,11.128471354064665,11.069195372260175,11.400526682251312,11.503560189286294,11.105391251832325,10.791129158649028,10.735490476479729,11.14128882809522,10.375424270915609,10.95941448874491,11.075000631505723,11.061512982858707,11.340952108976092,57,TRUE,8,25
136,751308965665.3616,460961146353.8615,290347819311.50494,6066,7249,11.34508280978601,11.787763321130704,11.23641517409669,11.216910288413821,11.048974866659432,11.11782321495909,11.000213413158763,11.749918686076724,11.389115022657124,11.454499840479125,10.801726587153686,11.327207449273084,11.450524809514492,59,TRUE,8,25
138,722633212098.5509,502256420955.66327,220376791142.8872,6811,8205,11.306167616544712,11.655809585258528,11.366049429916867,11.697542374524083,11.391325333499429,11.911402907390215,11.316005860019162,12.147308291642817,10.28142850645252,10.48246025010305,11.09773958241735,11.473232049647375,11.583618354290648,61,TRUE,8,25
140,909228014876.6138,517315797376.235,391912217500.377,7584,9209,11.535861741116854,12.143805946378118,11.562756661449823,13.083520964248052,12.744846831948282,11.648240493921133,12.746608720443737,11.160359472649946,11.330346276774817,11.902684872200657,10.34027013089981,12.158383403338256,12.460698011477465,63,TRUE,8,25
142,942907407749.0892,602686141562.4506,340221266186.63513,8312,10372,11.572233925733656,12.198118659821308,12.169357756256698,10.236017589450592,11.579941567349659,8.91772992909409,11.043977340798708,10.117468245107823,12.143699691582881,11.23219156510089,11.828814750261431,11.53410475452034,11.847241889466423,65,TRUE,9,25
144,1367652133828.6694,640410987348.4817,727241146480.192,8892,11654,11.944116614655258,11.623870591006167,11.512521459005688,12.103355779636068,10.473067051268817,11.321860327860533,11.673256127348242,12.226804968196664,12.277500110689296,12.435144349702098,11.80292115292394,11.871748974754217,11.780837015627581,67,TRUE,9,25
146,1489322369543.1387,1088806539053.7133,400515830489.43097,9542,12866,12.02934234689809,12.170174858688156,12.339925327722383,11.76899436594907,11.857969423213873,10.977776168404061,12.305115650987599,12.706330207226175,11.862597067021932,11.823925276771819,10.438058725935266,11.991433793756292,12.12047269179483,69,TRUE,9,25
