time,S,E,I,R1,beta_t,R0,integer_day,time_diff,Rt
0,99800,200,200,0,0.25,1.75,0,0,NA
0.9978025673743599,99736,216,223,25,0.25,1.75,1,0.0021974326256400945,1.7465
1.9769079206571787,99686,216,239,57,0.25,1.75,2,0.023092079342821314,1.74538
2.997983497948996,99633,216,258,86,0.25,1.75,3,0.002016502051004121,1.744505
3.993401693541739,99565,221,276,128,0.25,1.75,4,0.006598306458260872,1.7435775
4.9976971802057175,99508,235,273,166,0.25,1.75,5,0.0023028197942824846,1.7423875
5.996588858224929,99427,252,299,192,0.25,1.75,6,0.003411141775070625,1.74139
6.999709729959753,99338,259,331,228,0.25,1.75,7,2.9027004024673175e-4,1.7399725
7.998620093506064,99258,276,341,267,0.25,1.75,8,0.001379906493935934,1.738415
8.998646924579177,99174,291,365,294,0.25,1.75,9,0.001353075420823302,1.737015
9.994287404331377,99101,289,386,329,0.25,1.75,10,0.005712595668622811,1.735545
10.99986815845312,99007,316,387,372,0.25,1.75,11,1.3184154687984062e-4,1.7342675
11.999993465039994,98907,331,405,423,0.25,1.75,12,6.534960006021606e-6,1.7326225
12.999582489043297,98799,347,431,465,0.25,1.75,13,4.17510956703282e-4,1.7308725
13.993654770561722,98702,354,460,501,0.25,1.75,14,0.006345229438277755,1.7289825
14.997068010977092,98583,365,511,518,0.25,1.75,15,0.0029319890229082546,1.727285
15.99958452622111,98444,421,533,559,0.25,1.75,16,4.154737788901741e-4,1.7252025
16.9864796027613,98297,440,576,611,0.25,1.75,17,0.013520397238700355,1.72277
17.999257265892215,98156,470,591,672,0.25,1.75,18,7.427341077850258e-4,1.7201975
18.997422349512888,97992,493,645,717,0.25,1.75,19,0.0025776504871117822,1.71773
19.999045280436228,97816,543,675,770,0.25,1.75,20,9.547195637722439e-4,1.71486
20.9983166240291,97650,552,737,817,0.25,1.75,21,0.0016833759708987373,1.71178
21.999537348939295,97454,614,769,871,0.25,1.75,22,4.626510607046441e-4,1.708875
22.999918707554798,97265,653,815,922,0.25,1.75,23,8.129244520205248e-5,1.705445
23.99986755195563,97062,697,844,992,0.25,1.75,24,1.324480443685161e-4,1.7021375
24.99939988177131,96858,734,889,1041,0.25,1.75,25,6.001182286894391e-4,1.698585
25.99851452629564,96635,759,969,1098,0.25,1.75,26,0.0014854737043599187,1.695015
26.998965319670333,96375,819,1022,1186,0.25,1.75,27,0.001034680329667026,1.6911125
27.999723401531327,96152,817,1089,1274,0.25,1.75,28,2.765984686732281e-4,1.6865625
28.999947702554067,95868,920,1103,1360,0.25,1.75,29,5.229744593293617e-5,1.68266
29.9997350337633,95587,954,1184,1453,0.25,1.75,30,2.649662366991379e-4,1.67769
30.997800329398622,95311,997,1249,1534,0.25,1.75,31,0.0021996706013780454,1.6727725
31.999674790402505,94997,1065,1306,1628,0.25,1.75,32,3.252095974950464e-4,1.6679425
32.999499409757654,94641,1138,1403,1713,0.25,1.75,33,5.005902423462771e-4,1.6624475
33.99586773880325,94310,1187,1472,1814,0.25,1.75,34,0.004132261196751585,1.6562175
34.99937230124526,93958,1227,1560,1939,0.25,1.75,35,6.276987547408908e-4,1.650425
35.99947846159895,93577,1267,1677,2057,0.25,1.75,36,5.215384010526236e-4,1.644265
36.999804627405105,93446,1118,1719,2163,0.09999999999999999,0.7,37,1.953725948951046e-4,0.6550389999999999
37.9993689337042,93280,994,1756,2286,0.09999999999999999,0.7,38,6.310662958028956e-4,0.654122
38.99846049517643,93103,919,1750,2411,0.09999999999999999,0.7,39,0.0015395048235689046,0.6529599999999999
39.99972657762257,92970,822,1750,2496,0.09999999999999999,0.7,40,2.734223774325528e-4,0.651721
40.99937691580335,92816,764,1704,2618,0.09999999999999999,0.7,41,6.23084196647028e-4,0.65079
41.99729393743476,92650,743,1641,2727,0.09999999999999999,0.7,42,0.0027060625652381987,0.649712
42.99853746195479,92542,678,1562,2835,0.09999999999999999,0.7,43,0.0014625380452102377,0.64855
43.99956061395829,92405,650,1484,2896,0.09999999999999999,0.7,44,4.393860417124529e-4,0.647794
44.99903641755574,92262,623,1433,2973,0.09999999999999999,0.7,45,9.635824442568719e-4,0.6468349999999999
45.99585782823138,92134,594,1402,3011,0.09999999999999999,0.7,46,0.004142171768620528,0.6458339999999999
46.99877209982845,92004,588,1338,3042,0.09999999999999999,0.7,47,0.0012279001715498339,0.644938
47.994452831774005,91885,547,1311,3075,0.09999999999999999,0.7,48,0.005547168225994881,0.6440279999999999
48.99928322257883,91792,498,1282,3081,0.09999999999999999,0.7,49,7.167774211680467e-4,0.643195
49.99900700510456,91687,473,1215,3096,0.09999999999999999,0.7,50,9.929948954408019e-4,0.6425439999999999
50.999775744917756,91572,460,1194,3062,0.09999999999999999,0.7,51,2.2425508224444002e-4,0.641809
51.99904226966653,91473,450,1158,3039,0.09999999999999999,0.7,52,9.577303334680209e-4,0.6410039999999999
52.99916097082149,91358,447,1117,3020,0.09999999999999999,0.7,53,8.390291785076442e-4,0.640311
53.99974506152856,91280,432,1067,2981,0.09999999999999999,0.7,54,2.5493847144275605e-4,0.639506
54.99856763909864,91192,426,1019,2963,0.09999999999999999,0.7,55,0.0014323609013615624,0.63896
55.9995545431522,91104,412,979,2932,0.09999999999999999,0.7,56,4.45456847799619e-4,0.6383439999999999
56.996094344556276,91031,395,928,2895,0.09999999999999999,0.7,57,0.003905655443723788,0.637728
57.99958120761146,90939,386,899,2867,0.09999999999999999,0.7,58,4.18792388536815e-4,0.6372169999999999
58.99933640365146,90865,369,860,2847,0.09999999999999999,0.7,59,6.635963485379648e-4,0.63657299999999994
59.9989623805072,90794,346,820,2831,0.09999999999999999,0.7,60,0.0010376194927985694,0.6360549999999999
60.99497866296938,90722,341,785,2786,0.09999999999999999,0.7,61,0.005021337030619577,0.635558
61.99942345339555,90646,348,733,2751,0.09999999999999999,0.7,62,5.765466044493905e-4,0.6350539999999999
62.998708021742644,90584,347,694,2705,0.09999999999999999,0.7,63,0.0012919782573561633,0.6345219999999999
63.99823128647603,90515,322,686,2673,0.09999999999999999,0.7,64,0.0017687135239725649,0.634088
64.99665842467095,90455,312,644,2641,0.09999999999999999,0.7,65,0.003341575329045554,0.633605
65.99882951830979,90404,288,624,2584,0.10195199498386377,0.7136639648870464,66,0.0011704816902096127,0.6455447394385778
66.99665781783841,90345,265,616,2521,0.10394209281189784,0.7275946496832849,67,0.0033421821615888803,0.6577746670996769
67.99971384945613,90283,252,613,2460,0.1059710372497091,0.7417972607479638,68,2.8615054387159944e-4,0.670176735222748
68.99924002580167,90236,236,591,2406,0.10803958658117185,0.756277106068203,69,7.599741983312924e-4,0.6827896596715557
69.99573420185921,90173,240,563,2379,0.11014851389182348,0.7710395972427644,70,0.004265798140792754,0.6957552909679808
70.99817821253073,90118,244,531,2348,0.11229860735779236,0.7860902515045466,71,0.001821787469268088,0.7088411624891948
71.99961827180903,90059,239,519,2306,0.11449067054036535,0.8014346937825575,72,3.817281909732628e-4,0.7222369173429651
72.99545850362315,90008,234,514,2224,0.11672552268630529,0.8170786588041371,73,0.004541496376845089,0.7358528693324179
73.98848758143183,89952,225,500,2180,0.11900399903403074,0.8330279932382152,74,0.011512418568173644,0.7497918361538528
74.99788260415355,89891,221,488,2142,0.12132695112577233,0.8492886578804063,75,0.0021173958464544285,0.7639521335365831
75.99999111876838,89822,240,466,2091,0.12369524712582225,0.8658667298807557,76,8.881231622126506e-6,0.7783362621571102
76.99818407487763,89757,254,447,2060,0.1261097721449962,0.8827684050149733,77,0.001815925122372164,0.7929202367525494
77.99546008668274,89697,259,441,2007,0.12857142857142856,0.8999999999999999,78,0.0045399133172594475,0.8078129999999999
78.99983680501542,89645,252,438,1952,0.12857142857142856,0.8999999999999999,79,1.6319498458017279e-4,0.8072729999999999
79.99804668397852,89585,248,434,1929,0.13249344604252208,0.9274541222976547,80,0.001953316021484852,0.8314162479337325
80.99912101351603,89525,243,432,1890,0.13653510301062108,0.9557457210743476,81,8.789864839684469e-4,0.8562048042244542
81.99801418366118,89479,219,439,1865,0.14070004902837266,0.9849003431986086,82,0.0019858163388164485,0.8817320322485543
82.997553795012,89427,211,444,1799,0.14499204497649593,1.0149443148354715,83,0.002446204988004297,0.9081620234716316
83.99549223920513,89371,211,450,1752,0.14941496645979788,1.045904765218585,84,0.0045077607948655896,0.9353212543920242
84.99401506041694,89305,227,428,1714,0.1539728073067837,1.077809651147486,85,0.005984939583058235,0.9632492633270198
