time,total_count,total_count_I,total_count_R1,num_I,num_R1,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,time.y,S,E,I,R1,beta_t,R0,time_diff,Rt,seed,new_time,week
78,29811206412.130783,14331664961.972755,15479541450.158045,459,1860,8.118150213865498,8.064994873064157,7.479045483187613,7.442541548894759,8.151119739780798,8.186678698962542,8.910890793679394,8.687541963212896,8.964702140855847,7.2635565893074965,8.057014679183336,8.280581477607674,7.7050782544803536,77.9946300425702,90240,252,459,1860,0.12857142857142856,0.8999999999999999,0.0053699574298065,0.8127089999999999,34,1,0
79,37137836224.10108,26521712088.773933,10616124135.327127,464,1817,8.337902131187285,7.6939546180444145,8.16791382629022,8.464018698297167,8.39191073378164,8.160016815382434,8.445464428615233,8.474111865898754,7.805306138028773,8.448263570924114,8.193642717919195,8.25720629800172,8.156901346835316,78.99877658242092,90196,224,464,1817,0.12857142857142856,0.8999999999999999,0.00122341757908372,0.8121599999999999,34,2,0
80,101379487092.57567,28149079226.18203,73230407866.3937,448,1785,9.342136610721312,9.467057368853563,8.128600629489616,8.98252515525152,9.672077905397288,10.369507557728424,10.119586757127129,9.926159282704873,9.137921639580862,8.515053516860604,9.661250924813572,9.597586400964893,8.998777775579406,79.9912575536767,90146,220,448,1785,0.13249344604252208,0.9274541222976548,0.00874244632329634,0.8365265201475927,34,3,0
81,45623038197.447105,36366311796.1712,9256726401.275925,440,1743,8.54367864951249,8.20463220291203,9.394002712651458,8.248513148733906,8.902128597619805,8.120348744581534,8.111358660421766,8.83593312084255,8.911205023396386,8.392503936801194,8.733495811986057,8.673351980895262,8.779346879272541,80.99904883407115,90099,216,440,1743,0.13653510301062108,0.9557457210743476,9.511659288534702e-4,0.8615665377196814,34,4,0
82,239571652243.136,21940594669.1662,217631057573.96973,436,1694,10.20211838334652,10.196388887352487,11.27333482242408,9.58441499876154,9.920075447613955,10.484720843295776,10.50390693033133,8.69575397158685,8.013505231267107,10.756205646800293,8.586348825699854,10.217830949013468,10.59694852558989,81.99922417802925,90038,228,436,1694,0.14070004902837266,0.9849003431986086,7.758219707483249e-4,0.8873853602185144,34,5,0
83,20911523747.710377,7924474546.621808,12987049201.088558,434,1663,7.763566219454098,7.516777788845143,7.324701556125359,6.869643892826867,7.677528356204121,7.798379232911466,9.13134142171818,9.132851656789564,10.07896410137105,8.18490344065543,6.864857933038273,8.626764059931629,7.272064999988436,82.99406625333998,89972,234,434,1663,0.14499204497649593,1.0149443148354715,0.00593374666001977,0.913835562191562,34,6,0
84,43800306567.99123,32830053622.2876,10970252945.70365,445,1642,8.502906653573522,8.852703948329415,8.175206702455016,8.345115507052231,7.787552374340065,9.044584274616321,9.559287565219648,7.706495680870306,9.168245588725052,8.791559845666907,6.354491594228161,8.678927563431298,8.500699971191507,83.9909913184862,89915,230,445,1642,0.14941496645979788,1.045904765218585,0.00900868151380507,0.9410214353624654,34,7,0
85,21191637885.318565,15002458764.930605,6189179120.387946,449,1608,7.776872501440941,8.499601324712856,7.784615358113233,8.22409493514998,7.440895953036346,8.966827379963368,7.04232183287896,8.510302361593505,6.744375716746329,7.592161985270431,7.043586919977671,8.028648269425577,8.211201909732448,84.99445070611266,89845,238,449,1608,0.1539728073067837,1.077809651147486,0.00554929388734137,0.969112547829262,34,8,1
86,29393041511.254505,16900802674.800411,12492238836.454092,430,1601,8.104023799986475,6.79049948879544,7.997608278589306,8.938420612206613,8.794893262277835,8.541330890457385,7.632341279264051,8.754587468619766,7.4473660135198,7.83122976114032,7.430070048951011,8.230252877892921,8.24995393427087,85.99692011376166,89775,253,430,1601,0.15866968317602106,1.1106877822321477,0.00307988623833921,0.9978974379464728,34,9,1
87,43641009611.30772,17495903209.938717,26145106401.369003,441,1576,8.499263132641556,7.674830514419063,8.617699309912709,7.904266340059433,7.865252816829289,8.557117242705399,8.538521194273107,7.329735471058733,8.041558925881157,8.243581087260338,8.71067437675135,8.237755394012222,8.150075833269938,86.99821514861982,89708,252,441,1576,0.16350983527251506,1.1445688469076054,0.00178485138017947,1.0275366823113028,34,10,1
88,42297007811.52622,23050754077.664948,19246253733.86134,436,1533,8.467982183180478,8.611566802106392,10.0504987231548,9.461258197346913,9.62435971607523,9.125635061745095,8.045668232314767,8.5118592172422,8.202624951033664,4.594707230900323,9.168516019598098,9.074113235491634,9.535179347222492,87.98962285341655,89638,268,436,1533,0.16849763417744945,1.1794834392421465,0.01037714658345123,1.0580910036753446,34,11,1
89,31425205574.706768,21017488669.456223,10407716905.250526,447,1495,8.170876133158103,9.214766163871023,7.4376005517395,8.147102406276709,8.14155276349742,7.602175625301026,8.750571533411094,7.624893473414977,7.663586874565854,8.313870485171451,8.055358342967416,8.252084384621844,8.530200467816284,88.99734955360289,89562,275,447,1495,0.173637583794753,1.215463086563271,0.0026504463971122,1.0895168015335848,34,12,1
90,35913203697.28369,25880015391.16138,10033188306.12226,431,1488,8.304370855832797,7.953450982298545,9.420065407038603,8.201734325855718,10.77518734870618,7.964304423230838,7.9027481119371235,7.84583823901038,8.9636867107763,7.6517530188919665,8.38398971227808,9.094666389220325,8.744383829576678,89.99891082231204,89492,285,431,1488,0.1789343254180534,1.252540277926374,0.0010891776879589,1.121800123716419,34,13,1
91,38612591769.61788,27302668284.93314,11309923484.68473,431,1466,8.376844271869878,7.8233564340137844,9.054727493068912,8.664542606006796,7.800104362367097,8.029455874146414,8.025020460646983,6.222629963338218,7.506674402872346,8.479632433546215,8.325019606006643,8.207512553034254,8.633551517529474,90.99784706939047,89425,286,431,1466,0.1843926419216929,1.2907484934518505,0.00215293060951182,1.15511664175993,34,14,1
92,22031280299.77175,13311642369.980894,8719637929.7908535,439,1435,7.815729112266798,8.761343526018605,7.3515258591587935,7.5809070308853155,7.3832051150157385,8.144282795672797,8.80002216362956,7.884477242469778,6.916816392678395,6.096610057193491,8.168626555702081,7.980232528559939,8.10184544081994,91.99832493251316,89341,303,439,1435,0.1900174620795882,1.3301222345571175,0.00167506748684331,1.1894618082527024,34,15,2
93,18095223949.858803,12242301517.073679,5852922432.785107,461,1429,7.618913870224784,8.070603950745827,9.387923093225831,7.191730945547285,7.896294349157189,8.12503997512751,7.169116725249074,8.148814090980627,7.743653238111919,7.610421657018469,6.7309781317488415,8.085115981553923,8.610726181461752,92.99662425552256,89252,303,461,1429,0.19581386501583592,1.3706970551108515,0.00337574447743804,1.2245944560065858,34,16,2
94,39687969433.55779,15470469937.534138,24217499496.023685,470,1423,8.404313941776493,8.382009879172204,9.325879810816774,8.46337207442373,8.778355738493918,7.875100796344264,8.0752745334222,8.87963946420339,5.348074644150149,6.952585075098036,8.9726596640437,8.496837947308546,8.8212688838073,93.99979478046842,89163,315,470,1423,0.2017870847910817,1.412509593537572,2.0521953157981443e-4,1.2606930624241537,34,17,2
95,52038597938.28001,41794620362.23618,10243977576.043837,472,1439,8.675251548227006,7.902916121119162,8.621639692637274,8.704446682302443,8.411895791385176,7.556893526860925,7.253675392380364,9.150670746982161,7.958470414387052,8.353173834956868,8.294121699407073,8.357895833102154,8.468374315513373,94.997992043229,89076,333,472,1439,0.2079425151287945,1.4555976059015616,0.00200795677099563,1.2978544933500094,34,18,2
96,69086433142.3689,39437745041.09971,29648688101.269115,490,1439,8.958624211864166,9.335164590060682,9.112973633544344,8.688587239096277,8.507098836088048,9.028655123304503,8.082839531225714,9.306067674570492,9.043136376581772,8.617297709636283,8.02770505364404,8.8667134220124,9.080099446525209,95.99942690020728,88959,362,490,1439,0.21428571428571427,1.5,5.730997927173576e-4,1.33614,34,19,2
97,64741068373.3116,36684420162.96396,28056648210.347633,514,1403,8.89366158783092,9.078576363779634,8.826748919175413,8.875334074416843,8.956018353612317,8.759129379063854,8.57080101525283,9.083590384002662,7.598182379228996,9.143307080889645,8.728980379562845,8.831513615733986,8.932956718798449,96.9992025881276,88860,375,514,1403,0.22082241007087017,1.5457568704960911,7.974118724121126e-4,1.3750898544246175,34,20,2
98,33475008126.333042,21268003098.786198,12207005027.546862,545,1396,8.234064971281885,8.127592308639324,8.33193743903071,8.440369017963482,9.44684226433728,8.466231213983198,8.511505143971418,10.310043174577356,8.492902326097035,7.6383625087356375,8.04317187077708,8.918171248018616,8.308228465269318,97.99873450615031,88744,386,545,1396,0.22755850501770175,1.5929095351239124,0.00126549384968654,1.4154594129111084,34,21,2
99,47503822636.819695,25032079864.304813,22471742772.51492,553,1393,8.584076021313567,8.464765417514679,8.53226709677832,8.032342234755879,8.82940211701136,10.175779680660858,8.040614983797811,8.573144626916351,8.325276918892797,9.098291595127657,8.30572920737234,8.87482906567811,8.366331508073602,98.9995342633407,88648,396,553,1393,0.23450008171395448,1.6415005719976814,4.657366592937251e-4,1.4567332676136222,34,22,3
100,72046272442.3108,55151888343.08138,16894384099.22938,577,1392,9.000574422346606,8.486817218010376,8.843909431024308,8.934478118616404,10.262223333782336,8.696891022127932,8.533707103613901,8.918130715559437,8.068367781778205,9.295996331011342,9.0162759023219,9.092208564016307,8.772952015579328,99.99869204806552,88562,376,577,1392,0.24165340829415993,1.6915738580591195,0.00130795193447852,1.4995463936922484,34,23,3
101,46066505930.81764,30912658177.256004,15153847753.561579,584,1401,8.553351970405007,8.183720611252488,7.895439116923684,8.181299762086065,7.78473940183033,8.732493215539332,8.64772674532586,9.875318211409263,8.963355866435535,9.268169318462515,8.394366340654203,8.801109325931995,8.095666016493489,100.9999410276204,88454,395,584,1401,0.2490249440996631,1.7431746086976418,5.8972379605393144e-5,1.5437902969548056,34,24,3
102,69302982346.72,43764065817.28339,25538916529.43663,604,1421,8.961753777522482,8.308859079998673,8.445478959204266,8.785821644678453,8.925446181903887,8.818340751925472,9.160128128939407,10.298778553218686,8.68994553774358,8.846806664863987,9.77755574266034,9.202989424075083,8.53401804600759,101.99972616546891,88299,442,604,1421,0.25662134551130616,1.796349418579143,2.738345310859813e-4,1.5889429147099954,34,25,3
