time,total_count,total_count_I,total_count_R1,num_I,num_R1,time.y,S,E,I,R1,beta_t,R0,time_diff,Rt,seed
78,55419829165.82264,44653451837.18007,10766377328.642569,433,1907,77.99988783954247,90367,224,433,1907,0.12857142857142856,0.8999999999999999,1.1216045753315028e-4,0.8137439999999999,82
79,21387384464.444218,9698994692.536661,11688389771.907557,413,1894,78.99691308037758,90325,211,413,1894,0.12857142857142856,0.8999999999999999,0.0030869196224188,0.8133029999999999,82
80,108710394442.85936,92197128249.58618,16513266193.273178,407,1855,79.99649979613295,90280,199,407,1855,0.13249344604252208,0.9274541222976548,0.00350020386704841,0.8377229359653566,82
81,31784594252.238842,15080451078.820322,16704143173.418543,393,1810,80.9957113105365,90225,196,393,1810,0.13653510301062108,0.9557457210743476,0.00428868946349325,0.862847236985921,82
82,45959378968.084946,33835416921.78164,12123962046.303312,391,1750,81.9996357751422,90188,189,391,1750,0.14070004902837266,0.9849003431986086,3.642248578046292e-4,0.8886263346509446,82
83,34628804162.295654,16309863012.035793,18318941150.259857,364,1736,82.99842414264238,90148,180,364,1736,0.14499204497649593,1.0149443148354715,0.00157585735762211,0.915357978663815,82
84,37574755268.68132,20430849174.86662,17143906093.814709,358,1685,83.9992420587988,90115,175,358,1685,0.14941496645979788,1.045904765218585,7.579412012006514e-4,0.9428622277492502,82
85,15645864781.603392,7385416464.6539955,8260448316.94939,338,1645,84.99682844578055,90072,174,338,1645,0.1539728073067837,1.077809651147486,0.00317155421944903,0.971268167131557,82
86,19003783973.172222,12037626581.897205,6966157391.275027,333,1600,85.99518622583858,90031,168,333,1600,0.15866968317602106,1.1106877822321477,0.00481377416141981,1.00041869921214,82
87,37935568041.61636,28251480160.070602,9684087881.545757,322,1551,86.99346539258583,89980,182,322,1551,0.16350983527251506,1.1445688469076054,0.00653460741416722,1.0304667785593864,82
88,31869574159.92265,20677557077.9265,11192017081.996164,338,1495,87.99928316092318,89926,188,338,1495,0.16849763417744945,1.1794834392421465,7.168390768157451e-4,1.0612991986300833,82
89,35271344671.76215,24750447840.0427,10520896831.719452,339,1451,88.99768588146522,89860,207,339,1451,0.173637583794753,1.215463086563271,0.00231411853478391,1.0930173352228871,82
90,46500605461.30013,35841524112.547165,10659081348.752964,347,1426,89.99615907786873,89794,212,347,1426,0.1789343254180534,1.252540277926374,0.00384092213127473,1.1255326937446395,82
91,38916382724.13137,24818066910.490864,14098315813.64047,351,1390,90.99773504516536,89729,228,351,1390,0.1843926419216929,1.2907484934518505,0.00226495483464361,1.159014702210155,82
92,55880483202.65788,46159619993.13352,9720863209.52438,362,1393,91.99987329694602,89666,222,362,1393,0.1900174620795882,1.3301222345571175,1.267030539793268e-4,1.193505379845756,82
93,16921709884.697414,5623401046.647527,11298308838.04987,374,1362,92.99915892046448,89592,242,374,1362,0.19581386501583592,1.3706970551108515,8.410795355189293e-4,1.229049221435696,82
94,28075141173.88227,18252204694.483856,9822936479.398405,396,1335,93.99604194784698,89525,238,396,1335,0.2017870847910817,1.412509593537572,0.00395805215302402,1.2654955950421816,82
95,53507516549.39946,39606797103.035034,13900719446.364439,395,1324,94.9936551406293,89447,249,395,1324,0.2079425151287945,1.4555976059015616,0.00634485937069939,1.303123756683373,82
96,53175988802.62762,43174305154.91693,10001683647.710682,390,1320,95.99700382312528,89370,270,390,1320,0.21428571428571427,1.5,0.00299617687471709,1.341705,82
97,39297277502.7986,16641953571.953012,22655323930.845585,395,1291,96.99636001848468,89284,293,395,1291,0.22082241007087017,1.5457568704960911,0.00363998151533451,1.3814429151623566,82
98,40863554160.83685,26830449985.540653,14033104175.296211,418,1288,97.99478707149996,89215,281,418,1288,0.22755850501770175,1.5929095351239124,0.00521292850004329,1.422213349340034,82
99,69386565320.39828,52659266521.93394,16727298798.464312,412,1285,98.9983679081314,89124,306,412,1285,0.23450008171395448,1.6415005719976814,0.00163209186861479,1.4644647353077316,82
100,46629624926.189316,27780406738.21113,18849218187.978188,422,1256,99.99326885509764,89041,316,422,1256,0.24165340829415993,1.6915738580591195,0.0067311449023748,1.5075982852566097,82
101,50102354460.80307,31865346517.903957,18237007942.899128,444,1234,100.99985651886708,88941,331,444,1234,0.2490249440996631,1.7431746086976418,1.434811329090735e-4,1.5521401033304671,82
102,39878562009.99025,30775841066.94503,9102720943.045258,479,1237,101.99728732698436,88819,345,479,1237,0.25662134551130616,1.796349418579143,0.00271267301563682,1.597691136378476,82
103,43705734209.90197,30867584450.540302,12838149759.361614,459,1254,102.99852934162932,88726,371,459,1254,0.26444947196003515,1.8511463037202465,0.00147065837067827,1.6441696355012854,82
104,64166154052.759766,48793396087.343185,15372757965.416595,483,1253,103.99818721432771,88601,401,483,1253,0.27251639212085843,1.907614744846009,0.00181278567228559,1.69255025851207,82
105,90024966254.03748,24041508419.07953,65983457834.95788,511,1246,104.99721803992789,88459,453,511,1246,0.28082939029574916,1.965805732070244,0.00278196007211306,1.741723536671557,82
106,104545266186.30505,30846266616.595013,73698999569.7101,542,1244,105.99935226574785,88332,469,542,1244,0.289395972991255,2.0257718109387852,6.477342521691298e-4,1.79197748623834,82
107,41460713384.94343,29170756146.684483,12289957238.259033,571,1266,106.99896060592204,88182,502,571,1266,0.2982238756967557,2.0875671298772898,0.00103939407794939,1.8439897971632075,82
108,53094189605.81782,31228411352.649014,21865778253.168907,616,1282,107.99669667166782,88026,516,616,1282,0.30732106986948815,2.1512474890864173,0.00330332833217994,1.8970130608261848,82
