seed,week,total_cases,total_E2I,num_days,new_week
1,0,84,430,7,1
1,1,85,415,7,2
1,2,98,541,7,3
1,3,165,820,7,4
1,4,266,1323,7,5
1,5,558,2502,7,6
1,6,833,4226,7,7
1,7,1366,6649,7,8
1,8,1706,9383,7,9
1,9,2287,11195,7,10
1,10,2160,11201,7,11
1,11,1913,9590,7,12
1,12,1229,6832,7,13
1,13,878,4533,7,14
1,14,552,2788,7,15
1,15,355,1727,7,16
1,16,199,1001,7,17
1,17,117,590,7,18
1,18,80,356,7,19
2,0,75,430,7,1
2,1,108,415,7,2
2,2,115,541,7,3
2,3,145,820,7,4
2,4,268,1323,7,5
2,5,510,2502,7,6
2,6,901,4226,7,7
2,7,1178,6649,7,8
2,8,2112,9383,7,9
2,9,2151,11195,7,10
2,10,2212,11201,7,11
2,11,1780,9590,7,12
2,12,1338,6832,7,13
2,13,882,4533,7,14
2,14,590,2788,7,15
2,15,338,1727,7,16
2,16,199,1001,7,17
2,17,90,590,7,18
2,18,77,356,7,19
3,0,84,430,7,1
3,1,73,415,7,2
3,2,104,541,7,3
3,3,164,820,7,4
3,4,254,1323,7,5
3,5,469,2502,7,6
3,6,825,4226,7,7
3,7,1265,6649,7,8
3,8,2038,9383,7,9
3,9,2462,11195,7,10
3,10,2121,11201,7,11
3,11,2020,9590,7,12
3,12,1485,6832,7,13
3,13,877,4533,7,14
3,14,613,2788,7,15
3,15,328,1727,7,16
3,16,199,1001,7,17
3,17,133,590,7,18
3,18,64,356,7,19
4,0,90,430,7,1
4,1,92,415,7,2
4,2,102,541,7,3
4,3,163,820,7,4
4,4,249,1323,7,5
4,5,520,2502,7,6
4,6,831,4226,7,7
4,7,1416,6649,7,8
4,8,1928,9383,7,9
4,9,2185,11195,7,10
4,10,2257,11201,7,11
4,11,2050,9590,7,12
4,12,1428,6832,7,13
4,13,854,4533,7,14
4,14,498,2788,7,15
4,15,360,1727,7,16
4,16,218,1001,7,17
4,17,118,590,7,18
4,18,67,356,7,19
5,0,89,430,7,1
5,1,111,415,7,2
5,2,100,541,7,3
5,3,140,820,7,4
5,4,264,1323,7,5
5,5,476,2502,7,6
5,6,787,4226,7,7
5,7,1212,6649,7,8
5,8,1781,9383,7,9
5,9,2296,11195,7,10
