seed,time,total_count,total_count_I,total_count_R1,num_I,num_R1,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,new_time,everyother,week
1,78,29225304007.61464,16960946244.783052,12264357762.831623,479,2020,8.098300746564028,7.746720258212705,8.424470996239146,8.542178796259117,8.681617319681127,7.817039619093192,7.902026924299467,7.637070392733504,8.137325430983923,8.30261659487115,8.49522571757679,8.229398347120817,8.293858445282627,1,TRUE,0
1,80,30399619864.648735,18352612422.77023,12047007441.878538,483,1918,8.137695940828063,8.480719432981955,8.635627711759703,7.760823907673502,7.601960486142993,7.906881379846918,7.929206365275246,8.873168599002279,7.5504548508741935,6.989830228864411,7.878481663423673,8.103389454138078,8.358308446955421,3,TRUE,0
1,82,40860556799.91761,13692107296.338705,27168449503.57895,462,1882,8.433431053260115,8.326951744058404,8.010481012378698,8.248996678636445,8.485824424663466,8.879723643689603,8.017739419372958,7.817180252471323,8.473602991068756,8.203687021040572,8.180226194848427,8.307171746344073,8.204302762584438,5,TRUE,0
1,84,24934034132.187164,13152601090.485094,11781433041.702055,464,1801,7.939499539769642,7.7084576380183,7.644463266811531,7.684755231945694,9.482572296196341,7.8749995059422595,8.419903950736407,7.2553554028185365,7.805900100457191,6.0578074685646985,8.11627104242401,8.144209260284375,7.679573330302768,7,TRUE,0
1,86,82386720333.9887,69235169668.12335,13151550665.86533,445,1728,9.134690099878725,9.522542336229806,9.144591640141767,8.773794107619311,8.900825526503475,9.329559314112737,9.76505292425816,9.001342129030222,8.517790628205598,8.156458779832374,9.127448729143532,9.119501629153584,9.193215015643052,9,TRUE,1
1,88,32363989913.83382,15869090594.65701,16494899319.176794,428,1680,8.200312219244257,8.22919522225484,8.116733236400394,9.427876447322427,8.25361650647468,7.975378072174727,7.126966479365047,7.760465020745972,8.205126965643007,8.385622881803739,8.462580932381574,8.358139592974958,8.781042367266751,11,TRUE,1
1,90,30724748582.81873,13864756173.408382,16859992409.410318,452,1623,8.148334309543834,7.906042278483086,8.497013334863428,8.77799363433733,7.7131406496359824,7.87797101461635,6.9105249648714855,8.49168418030727,7.0161748802231205,8.239266919875284,8.102368482123145,8.103496002853136,8.455571973128494,13,TRUE,1
1,92,36041148707.6575,17774878083.83838,18266270623.819157,453,1572,8.307927142310064,8.016161975227881,9.195438329879707,7.05860803445159,7.770667692720169,8.009589224527115,8.123819856845019,8.546697544727252,8.135628862050009,8.495873983091913,8.430107364465071,8.314814093127387,8.451369396910215,15,TRUE,2
1,94,32954581782.444817,21817346262.56048,11137235519.884363,475,1517,8.218396140806004,8.055971726781609,7.260509177702956,7.701201752898667,7.582208577542583,8.258321420134356,7.602733936270025,9.454180220716426,8.144604964531574,7.834468157587729,8.484238182727632,8.247561391604194,7.724085629921743,17,TRUE,2
1,96,38524634099.41573,22006430181.41249,16518203918.003296,491,1489,8.374563720363572,8.819137047777467,7.432949104566088,8.3400785632305,9.500826900903743,7.995046015522671,9.268381094803358,8.435659487140208,8.475538026345886,8.483024695497006,8.541393076528193,8.681609536987093,8.346138466762271,19,TRUE,2
