date,gene_copy_1,gene_copy_2,gene_copy_3,,,,,,,,,,
5/2/2021,-1,-1,-1,,,,,,,,,,
5/3/2021,1.10E+05,-1,6.10E+04,,,,,,,,,,
5/5/2021,-1,-1,-1,,,,,,,,,,
5/9/2021,5.47E+04,4.20E+04,-1,,,,,,,,,,
5/10/2021,-1,-1,-1,,,,,,,,,,
5/12/2021,6.64E+06,8.08E+06,8.05E+06,,,,,,,,,,
5/12/2021 RERUN,5.76E+06,7.45E+06,7.10E+06,,,,,,,,,,
5/16/2021,-1,-1,-1,,,,,,,,,,
5/17/2021,-1,-1,-1,,,,,,,,,,
5/19/2021,-1,-1,-1,,,,,,,,,,
5/23/2021,-1,-1,-1,,,,,,,,,,
5/24/2021,-1,-1,-1,,,,,,,,,,
5/26/2021,-1,-1,-1,,,,,,,,,,
5/30/2021,-1,-1,-1,,,,,,,,,,
5/31/2021,-1,-1,-1,,,,,,,,,,
6/2/2021,-1,-1,-1,,,,,,,,,,
6/6/2021,-1,-1,-1,,,,,,,,,,
6/7/2021,-1,-1,-1,,,,,,,,,,
6/9/2021,-1,-1,-1,,,,,,,,,,
6/13/2021,-1,-1,-1,,,,,,,,,,
6/14/2021,-1,-1,-1,,,,,,,,,,
6/16/2021,-1,-1,-1,,,,,,,,,,
6/20/2021,-1,-1,-1,,,,,,,,,,
6/21/2021,-1,-1,-1,,,,,,,,,,
6/23/2021,-1,-1,-1,,,,,,,,,,
6/27/2021,-1,-1,-1,,,,,,,,,,
6/28/2021,-1,-1,-1,,,,,,,,,,
6/30/2021,2.12E+04,1.52E+04,,,,,,,,,,,
7/4/2021,1.16E+05,1.78E+05,8.71E+04,,,,,,,,,,
7/5/2021,1.57E+05,1.30E+05,1.95E+05,,,,,,,,,,
7/7/2021,9.54E+02,1.06E+03,1.62E+04,,,,,,,,,,
7/11/2021,4.02E+05,4.32E+04,5.71E+04,,,,,,,,,,
7/12/2021,2.53E+05,2.49E+05,2.32E+05,,,,,,,,,,
7/14/2021,2.17E+05,2.40E+05,5.37E+05,,,,,,,,,,
7/18/2021,3.54E+05,4.51E+05,7.46E+05,,,,,,,,,,
7/19/2021,2.70E+05,8.67E+05,4.61E+05,,,,,,,,,,
7/21/2021,4.00E+05,1.36E+05,1.96E+05,,,,,,,,,,
7/25/2021,-1,-1,-1,,,,,,,,,,
7/26/2021,1.25E+06,1.31E+06,1.96E+06,,,,,,,,,,
7/30/2021,6.62E+05,3.70E+05,7.61E+05,,,,,,,,,,
8/1/2021,1.39E+07,2.77E+06,1.16E+06,,,,,,,,,,
8/2/2021,3834344.981,2051300.573,5369955.167,,,,,,,,,,
8/4/2021,3704309.696,2306134.936,5480926.132,,,,,,,,,,
8/8/2021,4815674.921,2786716.65,3076396.435,,,,,,,,,,
8/9/2021,924704.1974,961191.0961,904063.2135,,,,,,,,,,
8/11/2021,808270.8758,805769.1899,766779.1413,,,,,,,,,,
8/15/2021,868461.7568,451071.7258,3752208.408,,,,,,,,,,
8/16/2021,753788.5432,1268634.598,748959.5013,,,,,,,,,,
8/18/2021,318130.7528,130451.7057,811549.234,,,,,,,,,,
8/22/2021,1252726.117,1607712.477,1375015.642,,,,,,,,,,
8/23/2021,75668.06203,47225.45903,31698.84029,,,,,,,,,,
8/25/2021,-1,-1,-1,,,,,,,,,,
8/29/2021,464150.5114,753620.006,269395.6153,,,,,,,,,,
8/30/2021,-1,-1,-1,,,,,,,,,,
9/1/2021,-1,-1,-1,,,,,,,,,,
9/5/2021,1759070.673,1486708.514,852063.6789,,,,,,,,,,
9/6/2021,2359401.021,1482168.268,862552.0719,,,,,,,,,,
9/8/2021,-1,-1,-1,,,,,,,,,,
9/12/2021,658251.8444,305710.9447,513111.6782,,,,,,,,,,
9/13/2021,392185.1748,444202.7731,298776.904,,,,,,,,,,
9/15/2021,618173.6839,318523.9027,410950.9772,,,,,,,,,,
9/19/2021,299567.7584,364411.4007,252892.9629,,,,,,,,,,
9/20/2021,-1,-1,-1,,,,,,,,,,
9/22/2021,-1,-1,-1,,,,,,,,,,
9/26/2021,1077033.872,1032347.014,524043.3427,,,,,,,,,,
9/27/2021,,382520.1649,705005.9802,,,,,,,,,,
9/29/2021,4940.532169,41643.91146,6851.425552,,,,,,,,,,
10/3/2021,,760060.2909,207767.1671,,,,,,,,,,
10/4/2021,131337.0821,,6832560.122,,,,,,,,,,
10/6/2021,-1,-1,-1,,,,,,,,,,
10/10/2021,-1,-1,-1,,,,,,,,,,
10/11/2021,-1,-1,-1,,,,,,,,,,
10/13/2021,-1,-1,-1,,,,,,,,,,
10/17/2021,112226.2372,166686.4868,153418.0845,,,,,,,,,,
10/18/2021,-1,-1,-1,,,,,,,,,,
10/20/2021,-1,-1,-1,,,,,,,,,,
10/24/2021,254856.9687,436219.6729,101670.8356,,,,,,,,,,
10/25/2021,98025.53485,219398.8022,153479.6081,,,,,,,,,,
10/27/2021,145527.1274,208996.0899,196329.8952,,,,,,,,,,
10/31/2021,146501.1267,91932.79837,66680.51256,,,,,,,,,,
11/1/2021,142674.5092,176620.3476,131081.4626,,,,,,,,,,
11/3/2021,114981.1116,163290.7958,94930.62625,,,,,,,,,,
11/7/2021,132227.5704,54556.04092,113670.0002,,,,,,,,,,
11/8/2021,43342.52744,86526.34083,159184.2995,,,,,,,,,,
11/10/2021,229059.9451,154469.7858,267823.2051,,,,,,,,,,
11/14/2021,76197.34428,1083591.817,85811.02975,,,,,,,,,,
11/15/2021,101768.2301,84767.42104,43103.34164,,,,,,,,,,
11/17/2021,117801.5947,143229.8184,64951.12987,,,,,,,,,,
11/21/2021,115427.7162,116500.209,172862.8625,,,,,,,,,,
11/22/2021,41476.89,120890.8,143671.2,,,,,,,,,,
11/24/2021,100074.5342,109127.3578,90509.86229,,,,,,,,,,
11/28/2021,100421.7949,76115.96857,242912.9243,,,,,,,,,,
11/29/2021,594867.8887,587452.5571,647429.8019,,,,,,,,,,
12/1/2021,124892.8139,177449.1077,169827.0141,,,,,,,,,,
12/5/2021,277040.458,281178.7471,219180.7137,,,,,,,,,,
12/6/2021,221139.2914,277040.458,358580.7145,,,,,,,,,,
12/8/2021,6950676.716,938699.2103,360353.0992,,,,,,,,,,
12/12/2021,1518912.103,1827135.154,1389461.281,,,,,,,,,,
12/13/2021,1945334.509,1384884.732,3149098.898,,,,,,,,,,
12/15/2021,8170936.81,3825804.703,1762015.124,,,,,,,,,,
12/19/2021,4826605.48,3257537.511,1852798.305,,,,,,,,,,
12/20/2021,2101956.26,2194243.793,2141023.003,,,,,,,,,,
12/22/2021,7263278.622,5246150.328,4167446.137,,,,,,,,,,
12/26/2021,11127863.79,13837281.12,9752034.878,,,,,,,,,,
12/27/2021,5327279.056,10401286.33,9752034.878,,,,,,,,,,
12/29/2021,6537268.081,19079832.61,9005921.618,,,,,,,,,,
1/2/2022,8146322.86,7938137.9,9828182.621,,,,,,,,,,
1/3/2022,9346920.287,21718638.34,19047679.68,,,,,,,,,,
1/5/2022,17453790.4,24791521.19,22178962.43,,,,,,,,,,
1/9/2022,12196203.84,22803482.05,15808044.26,,,,,,,,,,
1/10/2022,17906889.91,15648977.62,16104233.3,,,,,,,,,,
1/12/2022,7970896.137,20683752.18,30045926.41,,,,,,,,,,
1/16/2022,13558621.91,17006024.98,11848990.64,,,,,,,,,,
1/17/2022,10266228.76,10656172.6,9259259.067,,,,,,,,,,
1/21/2022,7818026.549,6658160.676,8068571.151,,,,,,,,,,
1/23/2022,6746372.922,7796488.592,4706485.034,,,,,,,,,,
1/24/2022,2739559.145,5123227.286,9056351.808,,,,,,,,,,
1/26/2022,2213093.713,2518252.163,3115928.145,,,,,,,,,,
1/30/2022,8918573.54,7630985.023,1835917.851,,,,,,,,,,
1/31/2022,3224317.245,3683716.436,3341627.801,,,,,,,,,,
2/2/2022,2943957.419,3995394.083,8325904.639,,,,,,,,,,
2/6/2022,1715554.379,2280627.974,2104464.081,,,,,,,,,,
2/7/2022,1656650.105,1159275.214,1180880.852,,,,,,,,,,
2/9/2022,2185363.768,1641424.938,1385825.893,,,,,,,,,,
2/13/2022,653381.1169,1584477.275,933889.2662,,,,,,,,,,
2/14/2022,2107741.566,2832675.845,3106815.612,,,,,,,,,,
2/16/2022,1367925.086,2162970.36,2917661.005,,,,,,,,,,
2/20/2022,1271467.841,1476359.286,1347023.69,,,,,,,,,,
2/21/2022,670031.3709,611100.5115,840665.8679,,,,,,,,,,
2/23/2022,802845.856,802845.856,696996.3271,,,,,,,,,,
2/27/2022,503253.2814,900103.9212,524958.5853,,,,,,,,,,
