name,time,value,.lower,.upper,.width,.point,.interval
alpha_t_values,0,2.609802176223833,2.3055226391116297,2.944204596803889,0.5,median,qi
alpha_t_values,1,2.1151137594185894,1.9272762997455863,2.3307790564320503,0.5,median,qi
alpha_t_values,2,1.8368568216890075,1.6011067145365243,2.0698887035513294,0.5,median,qi
alpha_t_values,3,1.5312762160115096,1.3607867398159426,1.7174516318215625,0.5,median,qi
alpha_t_values,4,1.3729354082924918,1.2015351178958236,1.5697976772593396,0.5,median,qi
alpha_t_values,5,1.2012370287627099,1.0437305051644228,1.3654150122441995,0.5,median,qi
alpha_t_values,6,1.0378698161179387,0.9165456860872825,1.2135986097337426,0.5,median,qi
alpha_t_values,7,0.9552588646796925,0.7862411598722288,1.1267527189223816,0.5,median,qi
alpha_t_values,8,0.9691201589554255,0.8455125736466078,1.09887390512488,0.5,median,qi
alpha_t_values,9,0.9794784511625865,0.8287366194955289,1.1404731907847725,0.5,median,qi
alpha_t_values,10,0.9799867762859686,0.8198356694084515,1.1727688133006493,0.5,median,qi
alpha_t_values,11,0.9980630198022332,0.865530361835913,1.1702995913749685,0.5,median,qi
alpha_t_values,12,0.975964423274829,0.8255113168865202,1.1104911964192845,0.5,median,qi
alpha_t_values,13,1.0237681596116985,0.8500679987238109,1.2006154406352394,0.5,median,qi
alpha_t_values,14,1.1886262921442996,0.9894370181558945,1.395858759752431,0.5,median,qi
alpha_t_values,15,1.3095690280780647,1.1332517554509594,1.5166122692671062,0.5,median,qi
alpha_t_values,16,1.3564830564847539,1.139794214369357,1.5824498463800765,0.5,median,qi
alpha_t_values,17,1.203819558260909,1.0626141530287043,1.3838853312052084,0.5,median,qi
alpha_t_values,18,1.0890409771301495,0.9405777422524865,1.2626699821153526,0.5,median,qi
alpha_t_values,19,1.0819955431063,0.9152380574292742,1.260923890324081,0.5,median,qi
alpha_t_values,20,1.2545560797748343,1.072554396141852,1.4696695258606205,0.5,median,qi
alpha_t_values,21,1.6925192659944908,1.4850154487592848,1.9019635738134983,0.5,median,qi
alpha_t_values,22,1.6574264361127664,1.355455560713994,1.881811201949313,0.5,median,qi
alpha_t_values,23,2.6160657580550497,2.34553188739183,2.952732202993971,0.5,median,qi
alpha_t_values,24,3.606306568783082,3.182731071058198,4.001205326180567,0.5,median,qi
alpha_t_values,25,3.0991993429367786,2.7503712874389983,3.4280405552950617,0.5,median,qi
alpha_t_values,26,1.9872958823014475,1.7711261853446794,2.1850215089638447,0.5,median,qi
alpha_t_values,27,0.9417863249147909,0.8255456629333267,1.0521149232865057,0.5,median,qi
alpha_t_values,28,0.6076823204288384,0.5330396451466627,0.71639607541761,0.5,median,qi
alpha_t_values,29,0.4652015390260156,0.38400992969005854,0.5553037826960157,0.5,median,qi
alpha_t_values,30,0.4179204407880391,0.33735931706234645,0.5120211905339935,0.5,median,qi
alpha_t_values,31,0.45275490397039203,0.3575993875195979,0.5537993278984943,0.5,median,qi
alpha_t_values,32,0.45035022722076246,0.3462984542686073,0.5713092917425265,0.5,median,qi
alpha_t_values,33,0.4907273816835137,0.38146116556500437,0.6249816907125574,0.5,median,qi
cases_mean,0,6487.945861294365,6094.178598978187,6893.541539680882,0.5,median,qi
cases_mean,1,11732.120321842645,11219.171963435925,12321.85138776292,0.5,median,qi
cases_mean,2,16812.744282786603,15888.485327227027,17844.347596100866,0.5,median,qi
cases_mean,3,20601.032388365427,19593.1055936659,21817.508290252397,0.5,median,qi
cases_mean,4,22646.42246634139,21432.36029953688,23832.170679134935,0.5,median,qi
cases_mean,5,22657.45767887919,21507.589867408384,23952.382967841066,0.5,median,qi
cases_mean,6,20524.031554886165,19292.573400588153,21764.90775467158,0.5,median,qi
cases_mean,7,17118.158591859756,16163.814965981448,17947.638694437337,0.5,median,qi
cases_mean,8,14225.375800098293,13619.493988490856,15078.075490365336,0.5,median,qi
cases_mean,9,12357.643347395899,11751.776229637599,12920.14004089151,0.5,median,qi
cases_mean,10,10559.262018700712,9998.088839277047,11068.584294075417,0.5,median,qi
cases_mean,11,9230.785283946549,8692.501162763812,9741.16308415478,0.5,median,qi
cases_mean,12,7934.760963482682,7479.834071933879,8325.722041603196,0.5,median,qi
cases_mean,13,6940.715451376618,6579.904962728161,7332.616217421333,0.5,median,qi
cases_mean,14,6805.425759780066,6437.014481125799,7156.199317135824,0.5,median,qi
cases_mean,15,7321.078960319061,6897.057514227943,7834.291930778954,0.5,median,qi
cases_mean,16,8111.642307245458,7718.083846170639,8521.027723943658,0.5,median,qi
cases_mean,17,8307.008240859272,7856.827081701083,8700.5713460453,0.5,median,qi
cases_mean,18,7631.531304972186,7250.66991685663,8066.872062748753,0.5,median,qi
cases_mean,19,6945.784481599068,6609.484004627855,7319.38631892823,0.5,median,qi
