seed,week,time,num_I,value,.lower,.upper,.width,.point,.interval
1,0,1,479,472.0651025120234,461.3645239527227,482.2577882654951,0.5,median,qi
1,0,2,488,461.41475833849154,444.14076258578933,477.9251435463719,0.5,median,qi
1,0,3,483,454.0076036089214,432.39175463497094,475.2953724695023,0.5,median,qi
1,0,4,490,449.14573549572486,425.3405723026863,473.18074386775027,0.5,median,qi
1,0,5,462,445.94742414695816,418.4450284868949,471.8632250355302,0.5,median,qi
1,0,6,483,443.4166575072685,414.51191923643273,471.673123929882,0.5,median,qi
1,0,7,464,441.16168309286695,410.0778452994052,471.88184725118384,0.5,median,qi
1,1,8,458,441.48923396526254,408.66835283271973,474.41638351783394,0.5,median,qi
1,1,9,445,446.8828984154366,411.5701924510459,480.8753250543258,0.5,median,qi
1,1,10,434,453.8402060892721,417.9165678961589,490.49602797516593,0.5,median,qi
1,1,11,428,460.9444803799845,424.39540743216475,502.0501500164653,0.5,median,qi
1,1,12,439,469.7729498215824,430.76246391375554,514.8816369600074,0.5,median,qi
1,1,13,452,481.4400052189552,439.8627565350303,527.8615184025625,0.5,median,qi
1,1,14,457,492.3331682346825,445.819853615405,542.7459745810163,0.5,median,qi
1,2,15,453,507.0612218509992,456.7847876797684,561.601728058882,0.5,median,qi
1,2,16,466,528.2457374745786,472.72312032472894,586.9452409155678,0.5,median,qi
1,2,17,475,554.1556084876133,493.7945936816955,617.030008144734,0.5,median,qi
1,2,18,491,582.5227659584439,516.7649191747755,649.6671183673855,0.5,median,qi
1,2,19,491,610.5972743267607,541.724126217458,688.0443625582516,0.5,median,qi
1,2,20,511,642.2989036922279,565.8188757759604,725.7545153435426,0.5,median,qi
1,2,21,519,672.7363707305749,591.222168565569,766.649655741553,0.5,median,qi
1,3,22,543,711.9445332886548,625.0533878693058,815.4184547728521,0.5,median,qi
1,3,23,580,759.2623870249461,664.6273653112088,872.8409851100698,0.5,median,qi
1,3,24,603,813.5944526050355,710.0507026593056,932.770767219442,0.5,median,qi
1,3,25,612,870.5049918108382,757.4872265608824,1002.3857984404544,0.5,median,qi
1,3,26,659,935.0844031367031,809.2070359910263,1073.0573285478952,0.5,median,qi
1,3,27,686,1006.6169559553084,865.8185514174089,1151.5575931376206,0.5,median,qi
1,3,28,729,1078.579244851359,926.0090222338164,1242.596081006981,0.5,median,qi
1,4,29,770,1161.0874647133369,989.811570257292,1344.2639952735549,0.5,median,qi
1,4,30,825,1246.1911643361796,1066.205401614795,1455.7562245554752,0.5,median,qi
1,4,31,867,1347.3510372547205,1151.8824879699357,1565.443942811994,0.5,median,qi
1,4,32,934,1450.3239814890096,1240.371303980406,1692.12853030802,0.5,median,qi
1,4,33,1006,1560.6877277206377,1343.7794609558264,1825.251091330761,0.5,median,qi
1,4,34,1074,1687.2613468852055,1444.322880907598,1974.8260771006671,0.5,median,qi
1,4,35,1155,1815.698670278208,1560.7277824071132,2131.9569096364166,0.5,median,qi
1,5,36,1250,1964.908207319167,1680.0877759941304,2313.9359765949143,0.5,median,qi
1,5,37,1354,2125.822809176251,1825.448504494614,2508.218775321306,0.5,median,qi
