name,time,value,.lower,.upper,.width,.point,.interval
alpha_t_values,0,0.17880740178182694,0.15649472855500215,0.2052612216682531,0.5,median,qi
alpha_t_values,1,0.22419138432409463,0.1957195003098354,0.2547541214337804,0.5,median,qi
alpha_t_values,2,0.27524223820481486,0.24555163698570018,0.3129063204710511,0.5,median,qi
alpha_t_values,3,0.31326816065333574,0.28089983330538626,0.3519503510571601,0.5,median,qi
alpha_t_values,4,0.3294452900794099,0.29506219252772414,0.3651349813000565,0.5,median,qi
alpha_t_values,5,0.34191230655451565,0.30855292422432967,0.378990282946145,0.5,median,qi
alpha_t_values,6,0.3560729899253611,0.32119890632908515,0.40116063936487056,0.5,median,qi
alpha_t_values,7,0.3235374154328093,0.2908345521817905,0.3621321538670717,0.5,median,qi
alpha_t_values,8,0.2709858476513315,0.2396240162655099,0.3026364586656086,0.5,median,qi
alpha_t_values,9,0.206401190153904,0.18059028140654643,0.2367602257666221,0.5,median,qi
alpha_t_values,10,0.16340451019093613,0.14227886784031407,0.19056761015144136,0.5,median,qi
alpha_t_values,11,0.13476743536118926,0.11509872570192309,0.16159396411919066,0.5,median,qi
alpha_t_values,12,0.11192212118265388,0.09253788649182818,0.13318872308247082,0.5,median,qi
alpha_t_values,13,0.09666566753475148,0.0803614454547254,0.11553966851018926,0.5,median,qi
alpha_t_values,14,0.0861586498799802,0.06948197421289755,0.104779227331735,0.5,median,qi
alpha_t_values,15,0.07833542337154328,0.06387246783329913,0.09659826731688376,0.5,median,qi
alpha_t_values,16,0.07448354899326393,0.057367365477317765,0.091930375736656,0.5,median,qi
alpha_t_values,17,0.07228364897690061,0.055918420905534824,0.09265321778558691,0.5,median,qi
alpha_t_values,18,0.07151980429434555,0.05346622806134722,0.09403586337039366,0.5,median,qi
C,0,1,1,1,0.5,median,qi
C,1,72.45716927987388,65.34246489631639,80.42284715857491,0.5,median,qi
C,2,147.56767143901604,133.57221211842037,161.71336040100147,0.5,median,qi
C,3,224.61673320629285,203.64289257754305,245.12368068765872,0.5,median,qi
C,4,302.4873066899013,274.32608839282807,330.2260920353291,0.5,median,qi
C,5,379.5313125037174,345.9011207207734,416.97353793888743,0.5,median,qi
C,6,458.43863409856215,418.3323269465644,503.7024598792486,0.5,median,qi
C,7,535.2628488615115,489.35264896424644,594.4288190582145,0.5,median,qi
C,8,616.3093809248576,562.2306351438468,684.5992454606763,0.5,median,qi
C,9,700.6166315312385,640.105856480262,781.0692090477206,0.5,median,qi
C,10,790.100120214111,719.1623457187775,879.8122854059106,0.5,median,qi
C,11,880.6837179175022,802.7799873440433,979.9890535982211,0.5,median,qi
C,12,975.2549929291845,886.738350938961,1089.2574609531637,0.5,median,qi
C,13,1072.439264201054,973.7137233075622,1198.1523823893706,0.5,median,qi
C,14,1171.913609912394,1057.9104609158217,1305.9842735068178,0.5,median,qi
C,15,1280.0696444574446,1152.1870616194394,1428.9523046304957,0.5,median,qi
C,16,1394.5659994241032,1253.5661396964695,1563.67386851528,0.5,median,qi
C,17,1515.1578223502686,1362.2108416347928,1706.0883416767938,0.5,median,qi
C,18,1645.8775146539542,1475.004105421202,1852.776042277384,0.5,median,qi
C,19,1784.8533859971494,1597.3344137707686,2007.3666668650787,0.5,median,qi
C,20,1933.1521665756873,1727.5074761818544,2177.938089735207,0.5,median,qi
C,21,2084.6594052949567,1864.6710783086535,2350.2795242120005,0.5,median,qi
C,22,2246.7408901099016,2009.401112849329,2545.1771942929677,0.5,median,qi
C,23,2426.6833719556344,2161.2973175609095,2756.2589883504065,0.5,median,qi
C,24,2620.579093690679,2335.997015731841,2980.475867522145,0.5,median,qi
C,25,2829.894202067014,2527.4998969402977,3229.6501348915026,0.5,median,qi
C,26,3058.5357008373976,2723.136036928189,3492.512455545404,0.5,median,qi
C,27,3312.637172465771,2936.1564595679924,3775.7270380678715,0.5,median,qi
C,28,3580.2742884724676,3155.2452379264455,4087.233516794371,0.5,median,qi
C,29,3867.327092746955,3393.3939819249267,4406.606764094699,0.5,median,qi
C,30,4181.513443067539,3662.2983374344667,4765.909135410963,0.5,median,qi
C,31,4528.7135767966065,3958.3004396436995,5159.139099274357,0.5,median,qi
C,32,4889.920243555178,4267.92461925713,5588.474725603794,0.5,median,qi
C,33,5283.026404976048,4601.75994077304,6044.623240691808,0.5,median,qi
C,34,5715.150927144292,4963.515326904226,6523.71040926571,0.5,median,qi
C,35,6180.8840928420905,5353.499134742669,7054.00470240942,0.5,median,qi
C,36,6679.5179332434855,5788.527961717328,7607.8338739417995,0.5,median,qi
C,37,7229.311829315047,6257.2291597466465,8231.932932766114,0.5,median,qi
C,38,7823.974070427361,6765.025699309813,8913.754938770886,0.5,median,qi
C,39,8484.752675640408,7333.343011341228,9678.341185013753,0.5,median,qi
C,40,9194.891258455296,7961.291128243329,10454.606222809169,0.5,median,qi
C,41,9983.455727673027,8633.829779631993,11319.403082409932,0.5,median,qi
C,42,10837.11255361206,9369.051841812048,12287.583608143304,0.5,median,qi
C,43,11767.640983498502,10160.180265011168,13308.053152544482,0.5,median,qi
C,44,12773.406368941058,11057.799412853868,14484.866706768284,0.5,median,qi
C,45,13909.237942259639,12007.003553438419,15777.500567387084,0.5,median,qi
C,46,15142.357177267184,13042.727286457455,17170.360690456328,0.5,median,qi
C,47,16515.362016216724,14169.047856446887,18719.31693310154,0.5,median,qi
C,48,17932.20279737631,15456.263090534572,20378.76994638764,0.5,median,qi
C,49,19489.748256724382,16859.13808242841,22273.718764766134,0.5,median,qi
C,50,21243.368884167387,18270.174208184035,24242.640003490626,0.5,median,qi
C,51,23103.547241003394,19901.031939755594,26391.077257012148,0.5,median,qi
C,52,25056.329585448315,21703.84315975685,28637.819102186375,0.5,median,qi
C,53,27201.18525128129,23550.838490401253,31078.863612191522,0.5,median,qi
C,54,29471.568262031604,25553.78896834682,33600.69880707527,0.5,median,qi
C,55,31838.13473476505,27740.438783209655,36390.8987401438,0.5,median,qi
C,56,34491.12514160112,29996.30125397221,39445.86051182145,0.5,median,qi
C,57,37302.69590539835,32434.47384033313,42792.409451577725,0.5,median,qi
C,58,40156.545032804774,34850.1844074575,46111.03143506264,0.5,median,qi
C,59,43065.20797805043,37451.44427433275,49469.354292183896,0.5,median,qi
C,60,46239.68514444436,40178.84287526195,52929.54830942776,0.5,median,qi
