new_time,name,value,.lower,.upper,.width,.point,.interval
1,log_copies,8.274551019032959,7.745453420620979,8.731115835428746,0.5,median,qi
3,log_copies,8.195370302290407,7.715806398787116,8.72237750551202,0.5,median,qi
5,log_copies,8.199633586191261,7.6751563281849755,8.679002993433615,0.5,median,qi
7,log_copies,8.184273029357424,7.67336283793197,8.697239386056419,0.5,median,qi
9,log_copies,8.200688945749306,7.687312591744899,8.680306070701887,0.5,median,qi
11,log_copies,8.24259618687819,7.728786602425648,8.728778302404768,0.5,median,qi
13,log_copies,8.26211524084015,7.779360218778027,8.76419858298642,0.5,median,qi
15,log_copies,8.297114924345621,7.809348635954562,8.80410976225808,0.5,median,qi
17,log_copies,8.397451457640093,7.884355096993891,8.913579691968971,0.5,median,qi
19,log_copies,8.47657403839043,7.9724693567315965,8.989445727440959,0.5,median,qi
21,log_copies,8.62360126444744,8.134529981481446,9.09122212600865,0.5,median,qi
23,log_copies,8.72993086451078,8.232177422019586,9.242223136855506,0.5,median,qi
25,log_copies,8.869220390055348,8.351962635168508,9.38065453433637,0.5,median,qi
27,log_copies,9.015476077610742,8.509340659452631,9.507885480839121,0.5,median,qi
29,log_copies,9.121550567357206,8.633192387517827,9.637876707147877,0.5,median,qi
31,log_copies,9.300136004320287,8.820318263069575,9.791511390167775,0.5,median,qi
33,log_copies,9.462463155425084,8.950876838786836,9.952261066713966,0.5,median,qi
35,log_copies,9.597464108205056,9.119607829975703,10.109588427179066,0.5,median,qi
37,log_copies,9.764837672164573,9.243219676443811,10.285416066415511,0.5,median,qi
39,log_copies,9.928203335418353,9.436410554535186,10.445631923267895,0.5,median,qi
41,log_copies,10.085890221391251,9.607441965445513,10.616357286420287,0.5,median,qi
43,log_copies,10.2656233307351,9.769639132719126,10.768592203356798,0.5,median,qi
45,log_copies,10.434201828294777,9.946857309333081,10.957156122451902,0.5,median,qi
47,log_copies,10.60466862484402,10.130997439464775,11.147011960432515,0.5,median,qi
49,log_copies,10.794927967329397,10.274087491816307,11.287334315255134,0.5,median,qi
51,log_copies,10.978367823312677,10.478655859788978,11.437986494945115,0.5,median,qi
53,log_copies,11.090922826077149,10.603725899956109,11.61342702724936,0.5,median,qi
55,log_copies,11.249342909378754,10.755696880683288,11.750555849816092,0.5,median,qi
57,log_copies,11.408264763503755,10.932451256817043,11.890362296566188,0.5,median,qi
