country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,variable
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-08,3.613508366327311,4.697063926454417,2.655647032082624,norm_mean_gene
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-09,3.247058661946237,4.2053207886656905,2.288796535226784,norm_mean_gene
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-10,2.949569075398613,3.8520547574959334,2.0470833933012926,norm_mean_gene
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-11,2.702994680602854,3.555417312904581,1.8505720483011268,norm_mean_gene
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-12,2.502414701811089,3.33356863955808,1.6712607640640984,norm_mean_gene
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-13,2.3617643469149683,3.187460903915995,1.5360677899139414,norm_mean_gene
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-14,2.290624545069916,3.0886888891664466,1.4925602009733858,norm_mean_gene
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-15,2.280498115655385,3.026114040940656,1.5348821903701138,norm_mean_gene
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-16,2.302027125029653,3.009325307041737,1.5947289430175693,norm_mean_gene
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-17,2.3275464995934576,3.0314842840570644,1.6236087151298508,norm_mean_gene
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-18,2.3522407665582303,3.0648289878031614,1.639652545313299,norm_mean_gene
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-19,2.3853722687297703,3.1042255530718625,1.666518984387678,norm_mean_gene
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-20,2.441309235639695,3.1794782266762462,1.7031402446031432,norm_mean_gene
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-21,2.5378790448297455,3.3022007473467165,1.7735573423127744,norm_mean_gene
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-22,2.681984636781254,3.4455940897934845,1.918375183769023,norm_mean_gene
Switzerland,LA,ETH,infection_norm_mean_gene,Cori_slidingWindow,2021-07-23,2.8573276592787837,3.589682027471432,2.1249732910861354,norm_mean_gene
